mu_bp_per_gen,p_HGT_thyA_per_div,p_HGT_dapA_per_div,V_reactor_L,rho_max_per_L,g_per_day,T_days,L_target_bp,N_total_cells,G_total_generations,p_combined_per_div,P_escape_30d
8.174199e-10,1.332369e-11,2.645188e-11,3.734142e+01,1.618755e+09,5.659818e+00,3.034606e+01,5.824203e+02,6.044661e+10,1.717532e+02,1.677887e-28,1.741965e-15
3.475157e-10,4.904784e-12,3.758821e-12,5.900950e+02,8.125895e+09,2.302044e+00,3.615358e+01,5.873195e+02,4.795051e+12,8.322713e+01,3.762880e-30,1.501684e-15
3.434702e-09,2.261385e-11,2.908499e-13,4.704468e+03,7.562204e+08,6.026293e+00,3.917802e+01,6.032572e+02,3.557614e+12,2.360982e+02,1.362809e-29,1.144687e-14
7.628591e-09,4.164110e-13,1.418448e-13,4.576009e+02,2.567847e+08,4.564463e+00,2.246716e+01,8.631596e+02,1.175049e+11,1.025505e+02,3.889295e-31,4.686674e-18
7.239938e-10,5.373433e-14,7.659707e-11,6.750612e+02,1.699707e+09,4.155149e+00,1.600572e+01,5.950480e+02,1.147406e+12,6.650615e+01,1.773172e-30,1.353100e-16
9.482276e-10,2.216496e-14,4.108846e-13,3.975633e+03,1.254971e+08,6.482590e+00,1.517015e+01,9.846696e+02,4.989303e+11,9.834189e+01,8.503347e-33,4.172231e-19
1.973620e-09,9.374413e-13,1.367477e-13,1.745009e+01,1.617494e+09,6.373124e+00,1.858337e+01,7.127609e+02,2.822542e+10,1.184341e+02,1.803315e-31,6.028215e-19
2.682305e-10,1.144386e-14,9.980311e-11,4.112119e+01,6.672158e+08,4.408514e+00,2.658770e+01,3.288285e+02,2.743671e+10,1.172123e+02,1.007382e-31,3.239659e-19
6.004448e-09,2.524519e-13,4.326895e-14,3.801096e+03,2.363708e+08,2.430385e+00,2.366918e+01,7.130504e+02,8.984681e+11,5.752523e+01,4.676793e-32,2.417181e-18
4.880107e-10,5.359280e-13,2.280220e-12,4.843012e+01,1.532997e+08,3.251033e+00,3.880294e+01,5.357231e+02,7.424323e+09,1.261496e+02,3.194867e-31,2.992235e-19
3.804233e-10,3.556620e-13,2.613812e-12,2.440338e+02,2.702685e+09,3.649240e+00,1.784132e+01,8.825529e+02,6.595464e+11,6.510725e+01,3.121186e-31,1.340277e-17
1.447331e-09,3.052106e-12,1.919283e-12,9.223401e+01,2.217741e+08,6.945339e+00,2.004293e+01,7.522845e+02,2.045511e+10,1.392050e+02,6.378059e-30,1.816123e-17
4.019089e-09,4.397086e-11,4.269262e-12,1.452150e+01,8.774417e+08,2.363847e+00,1.816053e+01,6.006420e+02,1.274177e+10,4.292870e+01,4.531699e-28,2.478783e-16
7.889405e-10,4.593178e-11,4.283712e-14,1.051280e+02,5.997645e+08,3.540708e+00,1.804087e+01,5.372467e+02,6.305203e+10,6.387743e+01,8.339720e-31,3.358907e-18
2.904951e-09,1.082850e-11,3.570502e-12,6.744395e+01,1.804049e+09,2.139608e+00,3.384419e+01,3.579282e+02,1.216722e+11,7.241331e+01,4.020058e-29,3.541946e-16
2.463106e-09,7.672556e-14,8.969458e-13,7.590585e+02,3.619026e+09,3.178916e+00,1.664011e+01,5.457931e+02,2.747052e+12,5.289751e+01,9.251614e-32,1.344373e-17
3.971726e-09,2.453381e-11,4.812068e-13,2.561666e+02,7.763969e+08,7.724474e+00,2.282571e+01,6.674638e+02,1.988869e+11,1.763166e+02,3.129707e-29,1.097497e-15
3.928333e-10,1.533935e-14,5.331960e-14,3.759890e+03,3.961892e+09,3.890907e+00,1.711348e+01,3.636220e+02,1.489628e+13,6.658697e+01,1.168295e-34,1.158829e-19
5.384003e-10,3.092383e-14,1.612380e-12,2.494846e+01,5.254268e+09,3.283933e+00,2.872113e+01,5.791254e+02,1.310859e+11,9.431826e+01,1.554671e-32,1.922163e-19
